Event,Day,Time,Pos,Rank,Heat,Bib,Country,Athlete,Mark,Reaction Time,Wind,Points,Group
100 Metres,04-AUG-2021,09:00,1,1,3,1440,CAN,Damian WARNER,10.12 =WDB,0.110,+0.2,1066,
100 Metres,04-AUG-2021,09:00,2,2,3,1092,AUS,Ashley MOLONEY,10.34 PB,0.138,+0.2,1013,
100 Metres,04-AUG-2021,09:00,3,3,3,1431,CAN,Pierce LEPAGE,10.43,0.140,+0.2,992,
100 Metres,04-AUG-2021,09:00,4,4,3,3979,USA,Zachery ZIEMEK,10.55 PB,0.145,+0.2,963,
100 Metres,04-AUG-2021,09:00,5,5,3,1320,BRA,Felipe DOS SANTOS,10.58,0.153,+0.2,956,
100 Metres,04-AUG-2021,09:00,6,1,2,1812,ESP,Jorge UREÑA,10.66 PB,0.130,+0.8,938,
100 Metres,04-AUG-2021,09:00,7,6,3,3966,USA,Garrett SCANTLING,10.67,0.153,+0.2,935,
100 Metres,04-AUG-2021,09:00,8,1,1,2237,GRN,Lindon VICTOR,10.67 SB,0.154,+0.1,935,
100 Metres,04-AUG-2021,09:00,9,2,1,1966,FRA,Kevin MAYER,10.68 SB,0.135,+0.1,933,
100 Metres,04-AUG-2021,09:00,10,7,3,3904,USA,Steven BASTIEN,10.69,0.142,+0.2,931,
100 Metres,04-AUG-2021,09:00,11,8,3,3210,POL,Paweł WIESIOŁEK,10.83,0.154,+0.2,899,
100 Metres,04-AUG-2021,09:00,12,2,2,3084,NOR,Martin ROE,10.86 SB,0.136,+0.8,892,
100 Metres,04-AUG-2021,09:00,13,3,2,1082,AUS,Cedric DUBLER,10.89,0.142,+0.8,885,
100 Metres,04-AUG-2021,09:00,14,4,2,3347,ANA,Ilya SHKURENYOV,10.93 SB,0.171,+0.8,876,
100 Metres,04-AUG-2021,09:00,15,3,1,1822,EST,Johannes ERM,11.04 SB,0.182,+0.1,852,
100 Metres,04-AUG-2021,09:00,16,5,2,1256,BLR,Vitaliy ZHUK,11.04,0.141,+0.8,852,
100 Metres,04-AUG-2021,09:00,17,4,1,1202,BEL,Thomas VAN DER PLAETSEN,11.05 SB,0.168,+0.1,850,
100 Metres,04-AUG-2021,09:00,18,5,1,1633,CZE,Adam Sebastian HELCELET,11.06 SB,0.143,+0.1,847,
100 Metres,04-AUG-2021,09:00,19,6,2,2164,GER,Kai KAZMIREK,11.09,0.145,+0.8,841,
100 Metres,04-AUG-2021,09:00,20,7,2,1640,CZE,Jiří SÝKORA,11.18,0.142,+0.8,821,
100 Metres,04-AUG-2021,09:00,21,6,1,2163,GER,Niklas KAUL,11.22 SB,0.148,+0.1,812,
100 Metres,04-AUG-2021,09:00,22,8,2,1827,EST,Karel TILGA,11.31,0.170,+0.8,793,
100 Metres,04-AUG-2021,09:00,23,7,1,1828,EST,Maicel UIBO,11.32 SB,0.184,+0.1,791,
Long Jump,04-AUG-2021,09:55,1,1,,1440,CAN,Damian WARNER,8.24 ODB,,+0.2,1123,B
Long Jump,04-AUG-2021,09:55,2,1,,1431,CAN,Pierce LEPAGE,7.65 SB,,+0.9,972,A
Long Jump,04-AUG-2021,09:55,3,2,,1092,AUS,Ashley MOLONEY,7.64,,+0.4,970,B
Long Jump,04-AUG-2021,09:55,4,3,,3347,ANA,Ilya SHKURENYOV,7.59 SB,,+0.2,957,B
Long Jump,04-AUG-2021,09:55,5,2,,1966,FRA,Kevin MAYER,7.50 SB,,+0.9,935,A
Long Jump,04-AUG-2021,09:55,6,3,,2164,GER,Kai KAZMIREK,7.48 SB,,+0.8,930,A
Long Jump,04-AUG-2021,09:55,7,4,,3904,USA,Steven BASTIEN,7.39,,+0.2,908,B
Long Jump,04-AUG-2021,09:55,8,4,,1320,BRA,Felipe DOS SANTOS,7.38 SB,,+0.5,905,A
Long Jump,04-AUG-2021,09:55,9,5,,1828,EST,Maicel UIBO,7.37 SB,,+0.4,903,A
Long Jump,04-AUG-2021,09:55,10,5,,1082,AUS,Cedric DUBLER,7.36,,0.0,900,B
Long Jump,04-AUG-2021,09:55,11,6,,2163,GER,Niklas KAUL,7.36 PB,,+0.4,900,A
